codigo,nome,unidade,material,maoDeObra,total
30.105.000721.SER,"Boca em concreto para galeria tubular dupla Ø 1.0 m esconsa a 30°",un,2788.71,1373.74,4162.45
30.105.000723.SER,"Boca em concreto para galeria tubular dupla Ø 1.0 m esconsa a 45°",un,3468.22,1694.21,5162.43
30.105.000725.SER,"Boca em concreto para galeria tubular dupla Ø 1.0 m normal",un,2382.82,1179.54,3562.35
30.105.000727.SER,"Boca em concreto para galeria tubular dupla Ø 1.2 m esconsa a 15°",un,3755.50,1729.03,5484.52
30.105.000729.SER,"Boca em concreto para galeria tubular dupla Ø 1.2 m esconsa a 30°",un,4200.62,1926.14,6126.76
30.105.000731.SER,"Boca em concreto para galeria tubular dupla Ø 1.2 m esconsa a 45°",un,5233.59,2377.48,7611.07
30.105.000733.SER,"Boca em concreto para galeria tubular dupla Ø 1.2 m normal",un,3577.54,1651.18,5228.72
30.105.000735.SER,"Boca em concreto para galeria tubular dupla Ø 1.5 m esconsa a 15°",un,6921.98,2895.75,9817.73
30.105.000737.SER,"Boca em concreto para galeria tubular dupla Ø 1.5 m esconsa a 30°",un,7766.39,3236.48,11002.87
30.105.000739.SER,"Boca em concreto para galeria tubular dupla Ø 1.5 m esconsa a 45°",un,9712.71,4011.60,13724.31
30.105.000741.SER,"Boca em concreto para galeria tubular dupla Ø 1.5 m normal",un,6569.07,2726.67,9295.75
30.105.000811.SER,"Boca em concreto para galeria tubular tripla Ø 0.8 m esconsa a 15°",un,2297.95,1118.83,3416.78
30.105.000813.SER,"Boca em concreto para galeria tubular tripla Ø 0.8 m esconsa a 30°",un,2573.77,1248.39,3822.16
30.105.000815.SER,"Boca em concreto para galeria tubular tripla Ø 0.8 m esconsa a 45°",un,3191.30,1538.23,4729.52
30.105.000817.SER,"Boca em concreto para galeria tubular tripla Ø 0.8 m normal",un,2205.42,1073.86,3279.28
30.105.000819.SER,"Boca em concreto para galeria tubular tripla Ø 1.0 m esconsa a 15°",un,3226.80,1569.08,4795.88
30.105.000821.SER,"Boca em concreto para galeria tubular tripla Ø 1.0 m esconsa a 30°",un,3605.89,1748.78,5354.67
30.105.000823.SER,"Boca em concreto para galeria tubular tripla Ø 1.0 m esconsa a 45°",un,4470.63,2154.45,6625.08
30.105.000825.SER,"Boca em concreto para galeria tubular tripla Ø 1.0 m normal",un,3090.27,1504.45,4594.73
30.105.000827.SER,"Boca em concreto para galeria tubular tripla Ø 1.2 m esconsa a 15°",un,4856.39,2201.96,7058.35
30.105.000829.SER,"Boca em concreto para galeria tubular tripla Ø 1.2 m esconsa a 30°",un,5427.03,2453.00,7880.03
30.105.000831.SER,"Boca em concreto para galeria tubular tripla Ø 1.2 m esconsa a 45°",un,6737.10,3022.92,9760.02
30.105.000833.SER,"Boca em concreto para galeria tubular tripla Ø 1.2 m normal",un,4640.12,2107.30,6747.42
30.105.000835.SER,"Boca em concreto para galeria tubular tripla Ø 1.5 m esconsa a 15°",un,8855.86,3643.35,12499.21
30.105.000837.SER,"Boca em concreto para galeria tubular tripla Ø 1.5 m esconsa a 30°",un,9915.73,4067.22,13982.95
30.105.000839.SER,"Boca em concreto para galeria tubular tripla Ø 1.5 m esconsa a 45°",un,12354.74,5032.76,17387.51
30.105.000841.SER,"Boca em concreto para galeria tubular tripla Ø 1.5 m normal",un,8457.29,3483.95,11941.24
30.105.000911.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.4 m boca normal",un,423.48,308.59,732.06
30.105.000913.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.6 m boca normal",un,577.36,412.69,990.05
30.105.000915.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.8 m boca normal",un,817.59,574.51,1392.10
30.105.000917.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.0 m boca normal",un,1091.43,755.77,1847.20
30.105.000919.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.2 m boca normal",un,1398.85,956.45,2355.30
30.105.000921.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.5 m boca normal",un,1783.87,1202.71,2986.58
30.105.000923.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.4 m boca a 15°",un,429.46,312.34,741.79
